scenario,trace_id,operation,decision,metric,value_ms
interactive_valid_flow,tr_7b3222f0fcba4a6b,issue_delegation,accepted,ledger_anchor,3.3451
interactive_valid_flow,tr_e1c293ef632a4c6b,delegate_to_domain,accepted,signature_generation,0.357
interactive_valid_flow,tr_e1c293ef632a4c6b,delegate_to_domain,accepted,ledger_anchor,3.8971
interactive_valid_flow,tr_4cfd1d428cd0462c,delegate_to_domain,accepted,signature_generation,0.0751
interactive_valid_flow,tr_4cfd1d428cd0462c,delegate_to_domain,accepted,ledger_anchor,5.0838
interactive_valid_flow,tr_2329ecc560dc4118,issue_downstream_delegation,accepted,incoming_cod_validation,0.1634
interactive_valid_flow,tr_2329ecc560dc4118,issue_downstream_delegation,accepted,signature_generation,0.1396
interactive_valid_flow,tr_2329ecc560dc4118,issue_downstream_delegation,accepted,ledger_anchor,2.6219
interactive_valid_flow,tr_1d63ef030bb14e54,verify_cod,accepted,cod_validation,0.2117
interactive_valid_flow,tr_1d63ef030bb14e54,verify_cod,accepted,capability_realization,0.1032
interactive_valid_flow,tr_1d63ef030bb14e54,verify_cod,accepted,ledger_anchor,2.7573
interactive_valid_flow,tr_d9941b667deb44f5,delegate_to_domain,accepted,signature_generation,0.085
interactive_valid_flow,tr_d9941b667deb44f5,delegate_to_domain,accepted,ledger_anchor,3.0335
interactive_valid_flow,tr_f99608fd803e478c,delegate_to_domain,accepted,signature_generation,0.0775
interactive_valid_flow,tr_f99608fd803e478c,delegate_to_domain,accepted,ledger_anchor,4.5003
interactive_valid_flow,tr_2a732d0141b5477d,issue_downstream_delegation,accepted,incoming_cod_validation,0.163
interactive_valid_flow,tr_2a732d0141b5477d,issue_downstream_delegation,accepted,signature_generation,0.1436
interactive_valid_flow,tr_2a732d0141b5477d,issue_downstream_delegation,accepted,ledger_anchor,3.8942
interactive_valid_flow,tr_2abd167f1c5d41c6,verify_cod,accepted,cod_validation,0.7855
interactive_valid_flow,tr_2abd167f1c5d41c6,verify_cod,accepted,capability_realization,0.1437
interactive_valid_flow,tr_2abd167f1c5d41c6,verify_cod,accepted,ledger_anchor,4.1129
interactive_valid_flow,tr_5d1421caf8f74b35,issue_downstream_delegation,accepted,incoming_cod_validation,0.1633
interactive_valid_flow,tr_5d1421caf8f74b35,issue_downstream_delegation,accepted,signature_generation,0.046
interactive_valid_flow,tr_5d1421caf8f74b35,issue_downstream_delegation,accepted,ledger_anchor,2.3983
interactive_valid_flow,tr_0b6895b4a8be4f7c,issue_downstream_delegation,accepted,incoming_cod_validation,0.1716
interactive_valid_flow,tr_0b6895b4a8be4f7c,issue_downstream_delegation,accepted,signature_generation,0.1017
interactive_valid_flow,tr_0b6895b4a8be4f7c,issue_downstream_delegation,accepted,ledger_anchor,2.3176
interactive_valid_flow,tr_bc27873913dc416f,verify_cod,accepted,cod_validation,0.4251
interactive_valid_flow,tr_bc27873913dc416f,verify_cod,accepted,capability_realization,0.0639
interactive_valid_flow,tr_bc27873913dc416f,verify_cod,accepted,ledger_anchor,3.207
interactive_valid_flow,tr_2c0f8cbc86044426,issue_downstream_delegation,accepted,incoming_cod_validation,0.1713
interactive_valid_flow,tr_2c0f8cbc86044426,issue_downstream_delegation,accepted,signature_generation,0.0521
interactive_valid_flow,tr_2c0f8cbc86044426,issue_downstream_delegation,accepted,ledger_anchor,2.5554
interactive_valid_flow,tr_d4b240b947624006,issue_delegation,accepted,signature_generation,0.0979
interactive_valid_flow,tr_d4b240b947624006,issue_delegation,accepted,ledger_anchor,4.1746
interactive_valid_flow,tr_6e5847953ab64590,verify_cod,accepted,cod_validation,0.186
interactive_valid_flow,tr_6e5847953ab64590,verify_cod,accepted,capability_realization,0.0688
interactive_valid_flow,tr_6e5847953ab64590,verify_cod,accepted,ledger_anchor,2.9522
interactive_valid_flow,tr_60f250d2b0fb44c1,verify_cod,accepted,cod_validation,0.5758
interactive_valid_flow,tr_60f250d2b0fb44c1,verify_cod,accepted,capability_realization,0.1722
interactive_valid_flow,tr_60f250d2b0fb44c1,verify_cod,accepted,ledger_anchor,4.1618
interactive_valid_flow,tr_3ab762888755440d,issue_delegation,accepted,signature_generation,0.0692
interactive_valid_flow,tr_3ab762888755440d,issue_delegation,accepted,ledger_anchor,2.6735
interactive_valid_flow,tr_f0884054f1784fec,issue_delegation,accepted,signature_generation,0.069
interactive_valid_flow,tr_f0884054f1784fec,issue_delegation,accepted,ledger_anchor,3.431
interactive_valid_flow,tr_b8da8147f07441d3,verify_cod,accepted,cod_validation,0.1745
interactive_valid_flow,tr_b8da8147f07441d3,verify_cod,accepted,capability_realization,0.0885
interactive_valid_flow,tr_b8da8147f07441d3,verify_cod,accepted,ledger_anchor,2.5822
interactive_valid_flow,tr_81edb77c2cf240aa,delegate_to_domain,accepted,signature_generation,0.1548
interactive_valid_flow,tr_81edb77c2cf240aa,delegate_to_domain,accepted,ledger_anchor,1.6064
