session,test,depth,iteration,accepted,latency_ms,reason,chain_credentials,chain_size_bytes
01,chain_depth_sensitivity,5,27,True,1.013042,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,28,True,0.952584,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,29,True,0.979459,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,30,True,1.017875,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,31,True,1.001167,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,32,True,0.9955,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,33,True,1.024959,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,34,True,0.995541,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,35,True,1.008083,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,36,True,0.982584,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,37,True,0.988458,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,38,True,0.990542,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,39,True,0.965708,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,40,True,0.993667,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,41,True,1.003125,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,42,True,1.047375,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,43,True,1.011333,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,44,True,1.012166,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,45,True,1.006333,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,46,True,1.026792,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,47,True,0.997667,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,48,True,1.028583,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,49,True,0.976666,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,50,True,0.989708,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,51,True,0.983,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,52,True,1.006666,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,53,True,0.981,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,54,True,0.989458,valid chain of delegation,5,4234
01,chain_depth_sensitivity,5,55,True,1.007791,valid chain of delegation,5,4234
